n,h,err_euler,err_heun,err_rk4
10,0.1,0.14459326893777802,0.012883185724908541,2.8934647330114416e-05
20,0.05,0.06358502342583527,0.0030352895515630696,2.3757037141969306e-06
40,0.025,0.03023466103069339,0.0007267343395895853,1.5636118733119986e-07
80,0.0125,0.014762545695815144,0.00017744187386692367,9.94309012902761e-09
160,0.00625,0.007296395846668302,4.38162217013538e-05,6.247444783724632e-10
320,0.003125,0.0036276261444840863,1.0884533860666679e-05,3.912958845830872e-11
640,0.0015625,0.0018087168374154583,2.7124224772911987e-06,2.44759768008862e-12
