x,exact,euler,heun,rk4
1.0,2.0,2.0,2.0,2.0
1.05,1.7354191356952176,1.6999999999999997,1.7372738095238094,1.7354208751370561
1.1,1.5270877937778955,1.4745476190476188,1.5297601264617335,1.5270900867395456
1.15,1.3592012275112615,1.2988081932307776,1.3621825081824248,1.3592036032149757
1.2,1.2213205416650508,1.157993135645791,1.2243558312166138,1.2213228147880746
1.25,1.1062810399762464,1.042696016550411,1.1092430247554623,1.1062831445178087
1.3,1.009006855493252,0.9466274267418898,1.0118345296187352,1.0090087763104092
1.35,0.9258048856740162,0.8654135053065107,0.9284723869813064,0.9258066289385818
1.4,0.8539263863328563,0.7959141264997766,0.8564265951902229,0.8539279664133533
1.45,0.791285004201777,0.7358146571438322,0.7936206812481693,0.7912864377889076
1.5,0.7362698581059277,0.6833705774485911,0.7384487674904289,0.736271161634816
1.55,0.6876183317068221,0.6372417908941836,0.6896505313995852,0.6876195203075482
1.6,0.6443274861620808,0.5963817490880441,0.6462238231175543,0.6443285733202873
1.65,0.605591098601949,0.5599612598967771,0.6073623850447973,0.6055920961423329
1.7000000000000002,0.5707540944190195,0.5273149062403426,0.5724106733848222,0.5707550126262851
1.75,0.5392790272990879,0.4979025937749343,0.54083056159856,0.5392798750876864
1.8,0.5107210572447543,0.47128145573697433,0.5121764461819438,0.5107218423359137
1.85,0.48470902206157584,0.4470849936626469,0.4860763900967474,0.4847097511493023
1.9,0.4609309438337561,0.425007365877632,0.46221766841858786,0.46093162273283317
1.9500000000000002,0.4391228075463488,0.40479139845991885,0.44033556686151293,0.4391234413207999
2.0,0.41905978419640516,0.3862193280193847,0.42020461352281435,0.4190603772693623
